workcenter,product,plannedProduction,good,rework,scrap,shift,plannedStop,unPlannedStop,date
Workcenter 2,refrigerante cola,150,90,30,30,6,1,0.5,20/11/2020
Workcenter 3,refrigerante cola,300,210,30,60,7,1,1.5,20/11/2020
Workcenter 1,refrigerante cola,600,540,60,180,8,1,1.5,23/11/2020
Workcenter 2,refrigerante cola,250,150,75,13,7,1,1,23/11/2020
Workcenter 3,refrigerante cola,600,540,60,120,7,1,2.5,23/11/2020
Workcenter 1,refrigerante laranja,450,315,23,135,8,1,1.5,24/11/2020
Workcenter 2,refrigerante cola,200,120,60,10,6,2,2.5,24/11/2020
Workcenter 3,refrigerante limao,200,120,40,60,8,2,1.5,24/11/2020
Workcenter 1,refrigerante cola,200,140,20,10,6,1,2.5,25/11/2020
Workcenter 2,refrigerante cola,400,280,120,80,8,1,2,25/11/2020
Workcenter 3,refrigerante limao,150,75,15,45,7,1,0.5,25/11/2020
Workcenter 1,refrigerante cola,200,100,20,40,6,1,1.5,26/11/2020
Workcenter 2,refrigerante cola,350,210,18,105,7,2,2.5,26/11/2020
Workcenter 3,refrigerante laranja,150,90,30,30,8,1,0.5,26/11/2020
Workcenter 1,refrigerante limao,600,300,180,120,7,2,2,27/11/2020
Workcenter 2,refrigerante limao,400,360,80,20,8,1,1.5,27/11/2020
Workcenter 3,refrigerante limao,150,105,30,15,7,2,1,27/11/2020
Workcenter 1,refrigerante cola,150,90,45,30,7,2,2.5,30/11/2020
Workcenter 2,refrigerante cola,350,245,18,70,8,1,2.5,30/11/2020
Workcenter 3,refrigerante laranja,550,495,165,110,7,1,2,30/11/2020
Workcenter 1,refrigerante limao,550,495,165,28,8,2,0.5,01/12/2020
Workcenter 2,refrigerante cola,200,160,20,60,6,2,1.5,01/12/2020
Workcenter 3,refrigerante laranja,300,180,15,90,8,1,2,01/12/2020
Workcenter 1,refrigerante laranja,350,245,105,18,6,1,2.5,02/12/2020
Workcenter 2,refrigerante cola,250,175,50,75,8,2,0.5,02/12/2020
Workcenter 3,refrigerante limao,250,175,13,50,8,2,2.5,02/12/2020
Workcenter 1,refrigerante laranja,350,245,105,70,7,1,2,03/12/2020
Workcenter 2,refrigerante cola,350,175,70,70,6,1,2,03/12/2020
Workcenter 3,refrigerante cola,150,135,15,30,6,2,1,03/12/2020
Workcenter 1,refrigerante laranja,600,360,180,180,8,2,2,04/12/2020
Workcenter 2,refrigerante cola,250,125,50,25,6,1,2.5,04/12/2020
Workcenter 3,refrigerante limao,150,120,15,45,7,1,0.5,04/12/2020
Workcenter 1,refrigerante laranja,200,180,10,10,6,2,0.5,07/12/2020
Workcenter 2,refrigerante laranja,200,120,10,20,7,2,2.5,07/12/2020
Workcenter 3,refrigerante laranja,450,225,45,45,7,1,1.5,07/12/2020
Workcenter 1,refrigerante cola,150,120,15,8,6,2,0.5,08/12/2020
Workcenter 2,refrigerante cola,200,100,40,10,8,1,2,08/12/2020
Workcenter 3,refrigerante cola,300,270,90,90,8,2,1,08/12/2020
Workcenter 1,refrigerante cola,400,200,20,80,8,2,0.5,09/12/2020
Workcenter 2,refrigerante laranja,350,245,105,70,6,2,0.5,09/12/2020
Workcenter 3,refrigerante limao,600,540,180,120,7,2,1.5,09/12/2020
Workcenter 1,refrigerante laranja,600,540,60,60,8,2,1.5,10/12/2020
Workcenter 2,refrigerante limao,250,225,13,75,7,1,0.5,10/12/2020
Workcenter 3,refrigerante limao,500,450,50,100,7,2,1.5,10/12/2020
Workcenter 1,refrigerante laranja,350,245,18,105,6,2,2,11/12/2020
Workcenter 2,refrigerante cola,250,150,25,75,6,1,2,11/12/2020
Workcenter 3,refrigerante cola,300,270,15,30,6,1,1,11/12/2020
Workcenter 1,refrigerante limao,300,210,60,90,6,1,1.5,14/12/2020
Workcenter 2,refrigerante limao,500,250,25,25,7,1,1,14/12/2020
Workcenter 3,refrigerante laranja,350,175,35,105,8,1,2.5,14/12/2020
Workcenter 1,refrigerante laranja,550,495,28,55,7,2,1,15/12/2020
Workcenter 2,refrigerante laranja,550,275,165,28,8,2,2,15/12/2020
Workcenter 3,refrigerante cola,150,90,8,8,6,1,2,15/12/2020
Workcenter 1,refrigerante laranja,500,400,100,50,8,2,2,16/12/2020
Workcenter 2,refrigerante laranja,500,300,50,150,7,1,2,16/12/2020
Workcenter 3,refrigerante laranja,550,385,110,110,7,1,1,16/12/2020
Workcenter 1,refrigerante limao,600,360,180,60,6,1,0.5,17/12/2020
Workcenter 2,refrigerante cola,550,275,110,110,6,2,2.5,17/12/2020
Workcenter 3,refrigerante limao,200,180,40,10,7,2,1.5,17/12/2020
Workcenter 1,refrigerante limao,600,540,180,60,6,1,1.5,18/12/2020
Workcenter 2,refrigerante limao,400,320,120,80,8,2,1,18/12/2020
Workcenter 3,refrigerante cola,600,300,30,30,8,1,1,18/12/2020
Workcenter 1,refrigerante laranja,300,270,15,60,6,2,2,21/12/2020
Workcenter 2,refrigerante cola,300,210,60,60,6,2,2.5,21/12/2020
Workcenter 3,refrigerante cola,200,140,10,40,8,2,0.5,21/12/2020
Workcenter 1,refrigerante cola,350,175,70,70,6,2,2,22/12/2020
Workcenter 2,refrigerante limao,350,210,35,105,6,1,1,22/12/2020
Workcenter 3,refrigerante limao,150,105,15,8,6,1,2.5,22/12/2020
Workcenter 1,refrigerante limao,250,125,75,75,6,2,2.5,23/12/2020
Workcenter 2,refrigerante laranja,150,90,45,30,7,1,2.5,23/12/2020
Workcenter 3,refrigerante laranja,350,175,35,35,7,2,0.5,23/12/2020
Workcenter 1,refrigerante laranja,250,125,13,50,8,1,2.5,24/12/2020
Workcenter 2,refrigerante laranja,550,275,110,55,6,2,2,24/12/2020
Workcenter 3,refrigerante limao,400,240,40,120,6,2,0.5,24/12/2020
Workcenter 1,refrigerante laranja,550,440,55,165,8,2,2,25/12/2020
Workcenter 2,refrigerante limao,150,120,15,15,6,2,2,25/12/2020
Workcenter 3,refrigerante limao,450,270,90,23,6,1,1.5,25/12/2020
Workcenter 1,refrigerante laranja,250,200,75,25,8,1,0.5,28/12/2020
Workcenter 2,refrigerante limao,450,225,23,135,8,1,2,28/12/2020
Workcenter 3,refrigerante limao,250,200,50,75,6,1,2.5,28/12/2020
Workcenter 1,refrigerante limao,500,450,25,150,7,1,2,29/12/2020
Workcenter 2,refrigerante limao,450,405,135,90,8,2,1,29/12/2020
Workcenter 3,refrigerante limao,350,175,70,70,6,2,1.5,29/12/2020
Workcenter 1,refrigerante laranja,400,360,20,40,6,1,2,30/12/2020
Workcenter 2,refrigerante limao,300,150,30,90,6,1,0.5,30/12/2020
Workcenter 3,refrigerante cola,400,360,80,120,7,2,0.5,30/12/2020
Workcenter 1,refrigerante cola,550,495,165,110,6,2,1,31/12/2020
Workcenter 2,refrigerante laranja,550,330,28,165,7,1,2.5,31/12/2020
Workcenter 3,refrigerante limao,150,120,15,8,6,1,2,31/12/2020
Workcenter 1,refrigerante laranja,600,300,180,120,8,1,2,01/01/2021
Workcenter 2,refrigerante limao,300,240,30,60,6,2,2,01/01/2021
Workcenter 3,refrigerante laranja,150,90,45,15,6,2,1.5,01/01/2021
Workcenter 1,refrigerante laranja,350,245,105,35,8,1,2,04/01/2021
Workcenter 2,refrigerante laranja,500,300,150,25,8,2,1,04/01/2021
Workcenter 3,refrigerante cola,200,180,20,60,6,2,1,04/01/2021
Workcenter 1,refrigerante laranja,300,180,15,30,8,1,2,05/01/2021
Workcenter 2,refrigerante cola,150,120,15,45,8,1,2,05/01/2021
Workcenter 3,refrigerante limao,500,250,50,100,7,1,1,05/01/2021
Workcenter 1,refrigerante limao,550,385,55,55,8,1,0.5,06/01/2021
Workcenter 2,refrigerante cola,150,120,30,15,6,2,2.5,06/01/2021
Workcenter 3,refrigerante cola,250,175,75,50,6,1,1,06/01/2021
Workcenter 1,refrigerante limao,550,385,110,110,8,2,2,07/01/2021
Workcenter 2,refrigerante laranja,450,360,23,45,6,2,0.5,07/01/2021
Workcenter 3,refrigerante limao,450,225,23,135,6,2,2,07/01/2021
Workcenter 1,refrigerante laranja,500,400,25,25,8,1,1,08/01/2021
Workcenter 2,refrigerante laranja,350,210,70,70,7,1,0.5,08/01/2021
Workcenter 3,refrigerante laranja,450,270,45,135,7,1,1,08/01/2021
Workcenter 1,refrigerante limao,550,495,165,55,7,1,2.5,11/01/2021
Workcenter 2,refrigerante laranja,550,495,110,110,8,1,2,11/01/2021
Workcenter 3,refrigerante laranja,300,210,30,90,6,2,1,11/01/2021
Workcenter 1,refrigerante cola,150,120,30,30,7,1,0.5,12/01/2021
Workcenter 2,refrigerante cola,400,200,80,20,8,2,1,12/01/2021
Workcenter 3,refrigerante laranja,600,360,60,30,7,1,2.5,12/01/2021
Workcenter 1,refrigerante limao,350,315,18,105,7,2,2,13/01/2021
Workcenter 2,refrigerante cola,450,270,135,90,6,2,1.5,13/01/2021
Workcenter 3,refrigerante laranja,300,210,15,90,7,2,0.5,13/01/2021
Workcenter 1,refrigerante limao,300,150,90,60,7,2,2.5,14/01/2021
Workcenter 2,refrigerante cola,400,320,80,80,6,1,2,14/01/2021
Workcenter 3,refrigerante limao,400,360,80,20,7,1,2.5,14/01/2021
Workcenter 1,refrigerante cola,150,105,8,15,6,1,2,15/01/2021
Workcenter 2,refrigerante laranja,150,90,8,45,8,2,1,15/01/2021
Workcenter 3,refrigerante cola,150,75,15,8,8,1,0.5,15/01/2021
Workcenter 1,refrigerante limao,350,175,35,70,8,2,2,18/01/2021
Workcenter 2,refrigerante laranja,450,405,23,90,7,1,2.5,18/01/2021
Workcenter 3,refrigerante cola,250,200,25,13,6,2,1,18/01/2021
Workcenter 1,refrigerante cola,400,240,80,80,8,2,2,19/01/2021
Workcenter 2,refrigerante laranja,200,180,40,20,7,1,1,19/01/2021
Workcenter 3,refrigerante limao,450,225,45,45,7,2,0.5,19/01/2021
Workcenter 1,refrigerante laranja,350,245,35,105,8,1,1,20/01/2021
Workcenter 2,refrigerante laranja,350,315,35,105,6,1,1,20/01/2021
Workcenter 3,refrigerante laranja,300,150,30,30,7,2,2.5,20/01/2021
Workcenter 1,refrigerante cola,350,210,18,105,8,1,0.5,21/01/2021
Workcenter 2,refrigerante limao,250,200,13,75,6,1,2,21/01/2021
Workcenter 3,refrigerante limao,250,175,13,25,8,1,2.5,21/01/2021
Workcenter 1,refrigerante laranja,200,160,20,20,6,1,1,22/01/2021
Workcenter 2,refrigerante laranja,350,245,35,18,7,2,2.5,22/01/2021
Workcenter 3,refrigerante cola,550,275,55,55,8,1,0.5,22/01/2021
Workcenter 1,refrigerante laranja,350,280,105,105,6,1,0.5,25/01/2021
Workcenter 2,refrigerante cola,250,150,50,13,7,1,1.5,25/01/2021
Workcenter 3,refrigerante limao,300,240,60,30,8,2,1,25/01/2021
Workcenter 1,refrigerante laranja,400,360,120,80,7,2,1.5,26/01/2021
Workcenter 2,refrigerante limao,150,135,15,30,7,2,2.5,26/01/2021
Workcenter 3,refrigerante limao,350,175,70,18,7,2,2.5,26/01/2021
Workcenter 1,refrigerante limao,200,160,60,40,7,1,0.5,27/01/2021
Workcenter 2,refrigerante limao,150,90,8,15,6,2,2,27/01/2021
Workcenter 3,refrigerante cola,550,440,165,165,7,1,1.5,27/01/2021
Workcenter 1,refrigerante laranja,350,210,18,35,7,1,2,28/01/2021
Workcenter 2,refrigerante laranja,250,225,50,50,6,2,1,28/01/2021
Workcenter 3,refrigerante limao,400,320,20,120,6,2,2,28/01/2021
Workcenter 1,refrigerante limao,200,160,20,10,8,2,0.5,29/01/2021
Workcenter 2,refrigerante cola,550,495,28,28,7,2,2,29/01/2021
Workcenter 3,refrigerante limao,450,225,135,135,8,1,1,29/01/2021
Workcenter 1,refrigerante cola,450,315,135,23,7,1,1.5,01/02/2021
Workcenter 2,refrigerante limao,400,240,20,40,7,2,1.5,01/02/2021
Workcenter 3,refrigerante limao,250,200,50,13,6,1,1.5,01/02/2021
Workcenter 1,refrigerante cola,250,150,75,75,6,2,0.5,02/02/2021
Workcenter 2,refrigerante limao,500,250,100,50,7,2,0.5,02/02/2021
Workcenter 3,refrigerante laranja,450,270,23,135,7,1,1.5,02/02/2021
Workcenter 1,refrigerante laranja,300,150,15,15,6,1,0.5,03/02/2021
Workcenter 2,refrigerante cola,300,150,15,60,7,1,2.5,03/02/2021
Workcenter 3,refrigerante limao,550,275,165,28,8,2,0.5,03/02/2021
Workcenter 1,refrigerante cola,200,120,60,10,6,1,0.5,04/02/2021
Workcenter 2,refrigerante cola,200,180,60,60,6,2,2,04/02/2021
Workcenter 3,refrigerante laranja,500,450,25,50,7,2,2,04/02/2021
Workcenter 1,refrigerante laranja,200,140,40,60,7,1,2.5,05/02/2021
Workcenter 2,refrigerante cola,300,150,15,15,6,1,0.5,05/02/2021
Workcenter 3,refrigerante limao,450,315,45,23,8,1,2,05/02/2021
Workcenter 1,refrigerante limao,550,495,165,28,7,1,2.5,08/02/2021
Workcenter 2,refrigerante laranja,150,90,15,8,7,1,1.5,08/02/2021
Workcenter 3,refrigerante limao,600,480,120,180,7,1,2,08/02/2021
Workcenter 1,refrigerante cola,500,350,150,25,7,2,1.5,09/02/2021
Workcenter 2,refrigerante cola,600,360,30,120,6,1,1,09/02/2021
Workcenter 3,refrigerante cola,600,540,30,180,6,1,2,09/02/2021
Workcenter 1,refrigerante cola,200,120,40,40,7,1,1,10/02/2021
Workcenter 2,refrigerante cola,300,180,30,60,7,1,2.5,10/02/2021
Workcenter 3,refrigerante cola,350,245,18,18,7,2,1,10/02/2021
Workcenter 1,refrigerante limao,400,320,40,120,8,2,2.5,11/02/2021
Workcenter 2,refrigerante cola,550,440,55,165,6,2,0.5,11/02/2021
Workcenter 3,refrigerante cola,300,210,60,90,7,2,1,11/02/2021
Workcenter 1,refrigerante laranja,550,330,28,110,6,2,1,12/02/2021
Workcenter 2,refrigerante laranja,600,420,60,30,7,2,2.5,12/02/2021
Workcenter 3,refrigerante cola,500,250,50,25,7,2,1,12/02/2021
Workcenter 1,refrigerante limao,400,280,120,120,7,2,0.5,15/02/2021
Workcenter 2,refrigerante laranja,150,90,8,30,8,2,1.5,15/02/2021
Workcenter 3,refrigerante cola,300,270,90,60,6,2,2,15/02/2021
Workcenter 1,refrigerante cola,300,210,30,60,6,2,2,16/02/2021
Workcenter 2,refrigerante laranja,300,270,15,90,7,1,0.5,16/02/2021
Workcenter 3,refrigerante cola,150,120,15,45,6,2,1.5,16/02/2021
Workcenter 1,refrigerante laranja,200,140,20,20,6,2,1,17/02/2021
Workcenter 2,refrigerante limao,450,225,90,90,6,1,2.5,17/02/2021
Workcenter 3,refrigerante laranja,400,240,20,80,6,1,1.5,17/02/2021
Workcenter 1,refrigerante laranja,500,250,50,50,7,1,2,18/02/2021
Workcenter 2,refrigerante cola,500,250,25,50,8,2,2.5,18/02/2021
Workcenter 3,refrigerante cola,400,320,20,20,7,2,0.5,18/02/2021
Workcenter 1,refrigerante laranja,600,540,30,120,6,1,1,19/02/2021
Workcenter 2,refrigerante limao,350,280,70,70,8,2,1,19/02/2021
Workcenter 3,refrigerante laranja,550,440,55,110,7,1,2.5,19/02/2021
Workcenter 1,refrigerante limao,200,100,40,10,6,1,2,22/02/2021
Workcenter 2,refrigerante limao,350,175,18,18,7,1,2.5,22/02/2021
Workcenter 3,refrigerante limao,150,105,15,30,6,1,1.5,22/02/2021
Workcenter 1,refrigerante cola,150,105,45,8,7,2,1,23/02/2021
Workcenter 2,refrigerante cola,150,90,30,30,6,2,1,23/02/2021
Workcenter 3,refrigerante laranja,500,350,100,25,7,1,0.5,23/02/2021
Workcenter 1,refrigerante cola,350,210,105,105,6,2,1.5,24/02/2021
Workcenter 2,refrigerante limao,200,160,60,40,6,1,1.5,24/02/2021
Workcenter 3,refrigerante limao,150,90,45,30,8,1,2.5,24/02/2021
Workcenter 1,refrigerante laranja,400,280,20,80,8,2,0.5,25/02/2021
Workcenter 2,refrigerante laranja,500,350,50,50,8,1,0.5,25/02/2021
Workcenter 3,refrigerante laranja,150,135,8,45,6,2,2.5,25/02/2021
Workcenter 1,refrigerante laranja,350,280,70,18,8,2,1,26/02/2021
Workcenter 2,refrigerante cola,450,360,45,45,7,2,1.5,26/02/2021
Workcenter 3,refrigerante limao,550,385,28,110,6,1,2,26/02/2021
Workcenter 1,refrigerante cola,450,225,90,45,8,2,1.5,01/03/2021
Workcenter 2,refrigerante laranja,350,245,105,35,8,2,2.5,01/03/2021
Workcenter 3,refrigerante cola,550,495,165,28,7,1,1,01/03/2021
Workcenter 1,refrigerante laranja,450,315,90,90,7,1,2.5,02/03/2021
Workcenter 2,refrigerante laranja,600,300,30,120,6,2,2,02/03/2021
Workcenter 3,refrigerante limao,500,450,100,50,8,2,1,02/03/2021
Workcenter 1,refrigerante cola,300,270,60,15,6,2,0.5,03/03/2021
Workcenter 2,refrigerante cola,250,225,13,25,7,1,1,03/03/2021
Workcenter 3,refrigerante limao,300,210,15,60,6,2,2.5,03/03/2021
Workcenter 1,refrigerante laranja,300,210,15,30,6,1,1,04/03/2021
Workcenter 2,refrigerante cola,300,180,15,30,8,1,1.5,04/03/2021
Workcenter 3,refrigerante laranja,150,135,45,8,6,1,1.5,04/03/2021
Workcenter 1,refrigerante laranja,350,315,18,18,7,2,2,05/03/2021
Workcenter 2,refrigerante cola,400,240,20,80,8,1,1,05/03/2021
Workcenter 3,refrigerante laranja,450,225,45,135,7,2,2.5,05/03/2021
Workcenter 1,refrigerante limao,400,240,20,40,8,2,1.5,08/03/2021
Workcenter 2,refrigerante cola,450,315,135,135,6,2,1,08/03/2021
Workcenter 3,refrigerante cola,400,320,80,20,7,1,2.5,08/03/2021
Workcenter 1,refrigerante laranja,300,210,60,90,7,1,0.5,09/03/2021
Workcenter 2,refrigerante limao,450,270,90,90,8,2,0.5,09/03/2021
Workcenter 3,refrigerante laranja,300,240,60,90,6,2,0.5,09/03/2021
Workcenter 1,refrigerante laranja,600,300,60,180,8,1,1,10/03/2021
Workcenter 2,refrigerante laranja,200,160,10,10,8,2,0.5,10/03/2021
Workcenter 3,refrigerante laranja,250,200,50,25,8,1,0.5,10/03/2021
Workcenter 1,refrigerante cola,250,175,13,50,8,1,0.5,11/03/2021
Workcenter 2,refrigerante laranja,250,225,25,13,6,2,2.5,11/03/2021
Workcenter 3,refrigerante cola,200,100,60,60,6,1,1.5,11/03/2021
Workcenter 1,refrigerante limao,200,100,60,20,8,1,2.5,12/03/2021
Workcenter 2,refrigerante limao,450,315,135,45,7,1,1,12/03/2021
Workcenter 3,refrigerante cola,200,160,60,60,6,1,0.5,12/03/2021
Workcenter 1,refrigerante cola,450,270,90,90,7,1,2.5,15/03/2021
Workcenter 2,refrigerante laranja,250,175,13,50,8,2,0.5,15/03/2021
Workcenter 3,refrigerante laranja,150,90,45,8,8,1,0.5,15/03/2021
Workcenter 1,refrigerante laranja,350,315,35,35,6,1,1.5,16/03/2021
Workcenter 2,refrigerante limao,350,280,105,105,7,1,1,16/03/2021
Workcenter 3,refrigerante cola,500,450,25,25,7,2,2,16/03/2021
Workcenter 1,refrigerante limao,400,200,120,20,7,1,1,17/03/2021
Workcenter 2,refrigerante cola,450,225,135,90,8,1,2.5,17/03/2021
Workcenter 3,refrigerante laranja,400,240,20,40,8,2,1,17/03/2021
Workcenter 1,refrigerante laranja,600,540,60,180,8,1,2,18/03/2021
Workcenter 2,refrigerante laranja,400,320,80,20,8,2,0.5,18/03/2021
Workcenter 3,refrigerante cola,250,200,75,50,6,1,0.5,18/03/2021
Workcenter 1,refrigerante cola,500,300,150,100,8,1,0.5,19/03/2021
Workcenter 2,refrigerante cola,150,90,45,30,7,2,0.5,19/03/2021
Workcenter 3,refrigerante laranja,300,210,90,90,7,2,1.5,19/03/2021
Workcenter 1,refrigerante cola,400,280,120,40,8,2,2.5,22/03/2021
Workcenter 2,refrigerante cola,450,225,135,90,6,1,0.5,22/03/2021
Workcenter 3,refrigerante limao,400,360,40,40,8,1,1,22/03/2021
Workcenter 1,refrigerante cola,400,320,40,20,8,1,0.5,23/03/2021
Workcenter 2,refrigerante laranja,250,125,13,75,6,2,0.5,23/03/2021
Workcenter 3,refrigerante limao,300,240,30,90,6,2,2.5,23/03/2021
Workcenter 1,refrigerante cola,550,495,28,55,7,2,1.5,24/03/2021
Workcenter 2,refrigerante limao,550,440,165,28,6,1,1,24/03/2021
Workcenter 3,refrigerante laranja,600,480,120,180,7,1,2.5,24/03/2021
Workcenter 1,refrigerante cola,150,120,8,8,6,2,2,25/03/2021
Workcenter 2,refrigerante laranja,300,210,15,15,7,2,2.5,25/03/2021
Workcenter 3,refrigerante laranja,200,160,20,20,6,1,1,25/03/2021
Workcenter 1,refrigerante limao,250,225,50,50,8,2,2.5,26/03/2021
Workcenter 2,refrigerante limao,450,315,135,45,7,2,1,26/03/2021
Workcenter 3,refrigerante limao,300,180,30,60,7,1,2.5,26/03/2021
Workcenter 1,refrigerante limao,350,280,105,70,7,1,2.5,29/03/2021
Workcenter 2,refrigerante laranja,200,100,20,60,7,2,1,29/03/2021
Workcenter 3,refrigerante limao,400,240,40,120,6,1,2,29/03/2021
Workcenter 1,refrigerante limao,550,275,110,110,8,2,1,30/03/2021
Workcenter 2,refrigerante laranja,300,240,90,15,7,2,2,30/03/2021
Workcenter 3,refrigerante limao,200,160,20,20,6,2,0.5,30/03/2021
Workcenter 1,refrigerante cola,500,400,50,100,6,1,1,31/03/2021
Workcenter 2,refrigerante limao,250,225,25,13,6,2,2,31/03/2021
Workcenter 3,refrigerante cola,400,240,40,80,6,2,1,31/03/2021
Workcenter 1,refrigerante limao,400,360,80,120,6,1,1,01/04/2021
Workcenter 2,refrigerante limao,550,440,28,165,6,2,1,01/04/2021
Workcenter 3,refrigerante laranja,350,280,70,35,6,1,1,01/04/2021
Workcenter 1,refrigerante laranja,550,440,165,110,8,2,1.5,02/04/2021
Workcenter 2,refrigerante limao,600,540,60,120,8,2,2,02/04/2021
Workcenter 3,refrigerante cola,350,245,35,70,8,2,1.5,02/04/2021
Workcenter 1,refrigerante cola,350,280,18,18,8,1,0.5,05/04/2021
Workcenter 2,refrigerante limao,250,125,75,13,8,1,1,05/04/2021
Workcenter 3,refrigerante cola,300,210,30,30,6,1,1,05/04/2021
Workcenter 1,refrigerante cola,550,440,55,110,8,2,2,06/04/2021
Workcenter 2,refrigerante limao,400,240,80,20,7,2,0.5,06/04/2021
Workcenter 3,refrigerante cola,200,140,20,40,7,2,0.5,06/04/2021
Workcenter 1,refrigerante cola,150,135,30,15,8,2,2,07/04/2021
Workcenter 2,refrigerante limao,150,75,8,8,6,2,1,07/04/2021
Workcenter 3,refrigerante cola,150,120,15,30,6,1,1,07/04/2021
Workcenter 1,refrigerante cola,500,300,25,150,7,2,2.5,08/04/2021
Workcenter 2,refrigerante cola,200,120,20,10,8,2,1,08/04/2021
Workcenter 3,refrigerante limao,500,350,25,25,6,1,2,08/04/2021
Workcenter 1,refrigerante limao,250,200,25,25,8,1,2.5,09/04/2021
Workcenter 2,refrigerante cola,500,450,50,25,7,1,0.5,09/04/2021
Workcenter 3,refrigerante cola,150,90,15,15,8,1,2.5,09/04/2021
Workcenter 1,refrigerante laranja,550,440,28,110,7,1,0.5,12/04/2021
Workcenter 2,refrigerante cola,250,125,13,25,6,2,2.5,12/04/2021
Workcenter 3,refrigerante limao,300,210,90,15,6,2,0.5,12/04/2021
Workcenter 1,refrigerante limao,350,315,35,35,8,1,1,13/04/2021
Workcenter 2,refrigerante laranja,150,75,45,30,7,1,0.5,13/04/2021
Workcenter 3,refrigerante laranja,150,75,30,15,6,2,2,13/04/2021
Workcenter 1,refrigerante laranja,250,150,75,25,7,1,1.5,14/04/2021
Workcenter 2,refrigerante cola,350,210,18,70,7,1,2,14/04/2021
Workcenter 3,refrigerante cola,500,300,100,150,7,1,1,14/04/2021
Workcenter 1,refrigerante cola,350,245,70,105,6,1,0.5,15/04/2021
Workcenter 2,refrigerante cola,500,350,100,100,6,1,2.5,15/04/2021
Workcenter 3,refrigerante limao,550,385,28,165,7,2,2,15/04/2021
Workcenter 1,refrigerante laranja,550,275,110,55,6,1,1.5,16/04/2021
Workcenter 2,refrigerante laranja,200,160,60,60,7,2,1.5,16/04/2021
Workcenter 3,refrigerante cola,150,135,8,8,6,1,0.5,16/04/2021
Workcenter 1,refrigerante cola,150,90,30,45,6,2,0.5,19/04/2021
